starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
33.735,208.39,307.49,1.6524,8.5003,3447.4,100.08,170.04,323.37,41.689,29.132,231.76,246.43,246.45,247.26,246.37,246.38,175.5,95,12.095,197.43,54.697,18.307
33.877,206.39,303.58,1.6524,8.2337,3401.6,100.05,171.15,308.33,39.42,29.588,231.15,246.41,245.19,246.45,246.67,247.07,173.88,97.875,12.082,196.32,54.728,18.307
34.453,204.46,302.8,1.6524,8.2468,3373.4,100.07,169.29,327.72,42.618,28.358,242.84,258.1,257.81,258.09,258.01,248.39,176.13,97.25,12.128,197.19,55.103,18.733
34.611,201.15,291.97,1.6524,7.525,3322.5,100.07,170.24,331.75,42.618,27.999,234.04,248.54,249,248.51,248.68,248.39,176.13,93.25,12.143,196.49,55.096,18.526
33.686,196.82,293.2,1.6152,7.8008,3235.7,86.674,170.04,320.17,42.382,23.175,214.08,229.23,228.94,229.36,229.63,229.52,170.52,79.85,12.142,190.4,56.219,18.323
33.102,197.73,296.85,1.5772,7.957,3258.6,82.648,168.02,325.67,35.943,24.656,208.21,222.6,223.19,221.99,222.73,222.92,172.56,79.125,12.137,187.78,55.625,18.205
32.888,200.17,297.94,1.5772,8.1036,3309.7,99.978,167.99,325.67,49.947,29.619,227.09,242.14,242.17,241.94,241.64,241.77,173.05,95,12.262,188.76,56.093,18.809
32.888,200.48,299.04,1.585,7.9884,3298.2,99.641,169.04,326.09,45.439,29.416,229.37,245.31,245.36,244.49,245.3,245.69,172.72,95,12.295,189.22,56.274,18.807
32.815,201.45,301.17,1.585,8.0613,3317.7,100.07,169.88,325.9,41.527,28.678,233.06,248.3,248.64,247.91,248.4,248.21,176.54,95,12.185,187.76,56.213,18.807
33.05,199.92,282.5,1.585,8.0547,3307.6,100.36,169.95,325.9,42.097,29.81,234.83,250.66,250.3,249.64,250.55,250.31,174.75,95.125,12.127,188.49,56.326,19.092
33.169,201.83,282.31,1.585,8.0547,3315.9,99.314,169.96,327.17,43.344,30.842,242.96,258.26,258.48,258.06,258.34,258.31,175,95.75,12.311,187.01,56.582,19.307
32.733,200.23,283.78,1.585,8.0357,3294.2,101.38,171.07,324.4,45.63,28.991,248.81,264.2,264.44,264.18,264.02,263.44,176.63,96.25,12.178,186.4,55.853,19.405
33.304,196.04,281.87,1.585,7.9128,3245.5,99.868,168.41,324.31,41.669,25.324,230.01,245.22,244.88,245.77,244.89,244.96,175.5,92.75,12.188,188.01,55.449,18.519
33.263,198.59,280.23,1.585,7.884,3261.4,99.959,170.22,324.05,39.589,30.818,234.65,249.29,249.13,249.14,249.23,249.85,175.06,93.375,12.187,186.94,56.152,18.989
32.959,199.24,283.65,1.585,8.0501,3289.2,100.05,171.45,324.05,41.121,27.977,231.77,246.98,246.61,248.83,246.82,246.99,175.05,93.75,12.138,186.61,55.819,19.138
32.66,200.9,282.21,1.5393,8.0007,3314,99.546,168.99,322.26,39.953,28.01,233.96,248.64,248.66,248.83,248.59,248.74,175.05,94.25,12.249,186.61,55.595,19.185
32.762,200.01,281.91,1.5241,8.1249,3315.9,100.42,170.01,319.71,38.864,28.01,234.23,249.87,248.76,249.23,249.73,248.76,173.36,95.25,12.235,186.68,55.769,19.167
32.769,201.13,285.09,1.5808,8.1746,3323.7,99.902,170.43,327.52,41.735,31.306,234.01,248.91,249.4,248.99,248.92,248.76,173.38,90.875,12.137,184.89,55.887,19.353
32.464,201.13,285.93,1.5393,8.296,3323.7,99.938,170.26,325.95,41.103,29.868,234.3,249.35,249.48,249.45,249.29,248.85,174.63,90.25,12.184,184.58,55.727,19.045
32.724,200.89,288.42,1.5393,8.0924,3320,100.36,170.26,315.88,40.334,29.135,234.54,250.23,249.92,249.65,249.77,249.52,174.47,90.25,12.195,186.2,55.815,19.245
32.724,196.74,281.54,1.585,7.9212,3239.7,97.711,170.95,321.04,40.45,28.129,222.52,237.77,237.5,237.38,237.24,237.75,173.35,90.25,12.097,186.61,55.548,18.634
32.694,199.82,283.63,1.5553,8.0252,3300.1,99.872,170.39,324.27,41.667,26.182,227.95,243.54,244.05,242.98,243.51,243.23,173.59,91.375,12.167,185.65,55.33,18.903
33.41,195.44,243.37,1.5553,7.9903,3215.8,95.881,170.18,324.19,40.988,27.278,220.56,236.12,236.26,235.46,236.14,236.31,173.63,88.25,11.912,184.21,54.916,18.566
